Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
"1,5-Heptadiene-3,4-diol, 2-methyl-",432375,
"(trans)-1,2,5-heptatriene",14149,
3-Hexanone,341537,
2-13C-Methoxycyclohexane,72980,
Methyl (E)-4-Hydroxy-6-methoxy-2-hexenoate,40335,
"1-[1,2,4]Triazol-1-ylethanone",571262,
(E)-2-(But-2-enyloxy)butan-2-one,141264,
"4-hydroxy-4-(trifluoromethyl)-2,5-cyclohexadien-1-one",46416,
Photocitral a ,174572,
"N,N'-Dicyclohexyl-N,N'-diisopropyloxomalonamide",32398,
"3-(Chloromethyl)-1,1,2,2-tetramethylcyclopropane",120481,
6-Iodo-1-octene,78861,
3-(o-Anisyl)-3-phenylpropenal,119727,
Formic acid,551190,
Cyanopyrazine,1887271,
Ethyl amino(phenyl)acetate,2680952,
(E)-2-Tetradecen-1-ol,71123,
5-Propyltetrahydropyran-2-one,57764,
4-Methoxy-1-nonene ,20370,
"meso-4,6-Dimethyl-2-(1'-ethoxycarbonylmethylene)-1,3-dioxane",81760,
Methyl 3-hydroxy-2-(p-toluenesulfonyloxy)methyl-10-tetrahydropyranyloxydecan...,36121,
"2-(1-Propenyl)-2-n-butyl-1,3-oxathiane",42654,
5-methyl-5-nitro-2-hexanone ,92309,
N-Ethyl-2-isopropoxycarbonylazetidine,35441,
Propanoic acid ,3600078,
"3-Hydroxy-4-methoxybenzaldehyde, TBDMS",14871955,
1-METHOXYBICYCLO(3.2.1)OCTANE,289727,
"1,1,2,3-tetrmethylcyclobutane",122467,
2-(Tetrahydropyran-2-yl)oxy-5-hexen-3-ol,363976,
Decanoic acid,418530,
"2,3,4-Trimethyl-2-pentanol",766961,
2-Dimethylamino-3-cyano-5-methylhex-4-en-1-nitrile,89781,
2-[(1-Ethynyl-1-methyl-2-propenyl)oxy]ethanol,213229,
"4-Cyclohexyl-5,5-dimethylcyclohexane-1,3-dione",326615,
O-Isopropyl(Z)-S-4-Phenylbut-3-enyl Dithiocarbonate,10420,
Dimethyl Sulfoxide,253760,
"1,2,4-Triazin-3-amine, 5,6-dimethyl- ",369524,
"Ethanamine, 2-(methylseleno)-",926792,
"2-oxa-4-methylene-6-(methylethenylcarbonyloxy)-8-acetoxy-8,12-dimethyl-9,13-...",66673,
1-Octanol,2522130,
"2,5-Dihydroxybenzaldehyde, 2TMS derivative",13512760,
testosterone 17b-acetate TMS,44941,
Methyl 4-trifluoromethyl-3-(2-chlorophenyl)-1H-pyrrole-2-carboxylate,876141,
"5,5-Dimethyl-1-oxaspiro[5.5]undec-2-ol",17487,
"Acetic acid, dodecyl ester",14435,
"1-Methyl-3,4-diamino-cyclohexane",38102,
3-ETHYL-PENTAN-2-OL ,29697,
"1-Methyl-1-(2,3-butadienyl)hydrazine",22738,
1-Methoxycarbonyl-2-methylimidazole,138530,
"(5S,6R)-4,5-Dimethyl-6-phenyl-3,4,5,6-tetrahydro-2H-1,3,4-oxadiazin-2-one",56262,
"2,3,4-Trimethyl-5-hexen-3-ol",660411,
"trans-2-(2-Ethenylcyclohexyl)-2-methyl-1,3-dioxolane",443613,
2-Undecanone,6626097,
"2-(t-Butyl)-3-pivaloyl-1,3-oxazolidin-5-one",947093,
"1-BENZYLOXYMETHYL-1-HYDROXYMETHYL-2,5-CYCLOHEXADIENE",35974,
(E)-1-(Hex-2-enyloxy)butan-2-one,57175,
1-Deuterio-2-cyclohexenyl acetate,21773,
Tetrahydrofurfuryl acrylate,38621,
"2,2-Dimethylpropanoic anhydride",40597,
3-Ethoxy-2-butanone,359439,
"Ethanamine, N-methyl- ",158041,
"Heptan-2,3,6-trione",62119,
"1-(Methoxyphenyl)-4-phenyl-1,2,4-triazoline-3,5-dione",28643,
"p-Toluic acid, 3,4-dichlorophenyl ester",659000,
"5-Amino-1-methyl-1H-pyrazole-4-carboxamide, 3TMS",3498991,
"Benzene, isocyanato-",79476,
