Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_Ara_iAAL
2-Methoxymethyl-3-phenyloxirane,20720,
2-Methyl-2-(phenylthio)thiolane 1-oxide,14847,
2-Methyl-4-penten-2-ol ,689980,
2-Methyl-4-penten-2-ol ,814474,
2-Methyl-6-hepten-2-ol,2958226,
"2-Methyl[1,3,4]oxadiazole",45605,
"2-Methylbenzoic acid, 2-fluorophenyl ester",200385,
2-Methylpent-4-en-1-ol,217647,
2-Methylpropyl-1-nitrile,12629,
2-Methylthioacetic acid,83423,
"2-Methylthiolane, S,S-dioxide",12171,
2-n-Propylaziridine,162853,
2-Nitro-1-octanol,11266,
"2-Nitro-1-phenyl-1,3-propanediol",3842010,
"2-Octanol, 2,6-dimethyl-",267758,
2-Octanone,320383,
"2-Octenal, (E)-",181341,
2-Octyl ethynyl ether,118585,
2-Oxetanone,575871,
"2-Oxetanone, 4-methyl-, (.+/-.)- ",32063,
"2-Oxetanone, 4-methyl-, (.+/-.)- ",8063,
2-Pentanone,7939218,
"2-Pentyne, 5-methoxy-",82933,
"2-Propanone, 1,1,1,3,3-pentachloro-",8903,
"2-Propene-1,1-diol, diacetate",94730,
2-Propenoic acid,44474,
"2-Propenoic acid, 3-phenyl-, 2-methylpropyl ester",80274,
"2-Thiophenecarboxylic acid, 4-nitrophenyl ester",550343,
"2H-Tetrazole, 2-methyl- ",67391,
"3,3'''-Bis(acetylthio)[5]staffane ",68274,
"3,3-(Ethylenedioxy)octanal ",38937,
"3,4,4,4-Tetradeiterio-2-(1-hydroxy-1-phenylmethyl)butanenitrile",10948,
"3,4,4-trimethyl-1,2,6-oxadiazine N-oxide",306456,
"3,4-Di(p-methylphenyl)-1,2,4-oxadiazaspiro[4.6]undeca-6,8,10-triene",4736,
"3,4-EPOXY-4-METHYL-1-PENTYNE ",113258,
3-(2-Azido-1H-imidazol-4-yl)prop-2-ynyl]amine dihydrochloride,82296,
"3-(3'-Oxo-2',3'-dihydro-1H-isoindol-1'-yl)-3-buten-2-one",51054,
3-(4-Nitrophenyl)quinazolin-4(3H)-one,279222,
3-(4-Pivaloxybutyl)cyclohexanone,14764,
"3-Acetoxy-1,3-dimethylbutyl trimethyl acetate",16653,
3-Acetoxybutyl trimethyl acetate,126312,
3-Amino-6-chloro-1-(Cyclohexenyl)hept-2-en-1-one,19942,
3-Deuterio-2-nonanone,222589,
3-Deuterio-2-nonanone,13121,
"3-Formyl-N-methyl-9-[phenylethynyl]dibenzo[2,3-a : 5,6-a'] (1,4)-thiazine",5316677,
