Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAL
"2,6-Octadien-1-ol, 3,7-dimethyl-, formate, (Z)-",74533,
"2,7-Epoxymegastigma-4,8(Z)-diene",60380,
"2,7-Octanedione",,1492074
"2,9-(2,2-Dimethylmethanepoxy)-1,6-dimethylbicyclo[4.4.0]decane",,29493
"2- and 4-(Trimethoxyacetoxy)-2,5,5-trimethyl-3-hexanone",45296,
2- butanone,,
"2-((1R,2S,5R)-Menthyl)tetrahydropyran",20503,
"2-(1-Propenyl)-2-n-butyl-1,3-oxathiane",22948,
"2-(2',2'-Dimethyl-1',3'-dioxan-4'-yl)-ethanol",12135,
2-(2-Methyl-3-oxobutyl)octanal,,8683
"2-(3'-bromo-1'-methylpropyl)-1,3-dioxolane",,29999
"2-(3'-cyanobutyl)-1H-isoindole-1,3(2H)-dione",,15399
2-(Dibromomethyl)tetrahydropyran,14114,
"2-(diphenylphosphinoyl)-5,5-dimethyl-1,3-dioxane",98359,
"2-(t-Butyl)-3-pivaloyl-1,3-oxazolidin-5-one",509536,
2-(Tetrahydropyran-2-yl)oxy-5-hexen-3-ol,195819,
2-(trans-2-Methyl-2-butenoxy)cycloheptene,48125,
2-[(1-Ethynyl-1-methyl-2-propenyl)oxy]ethanol,114717,
2-[(3-Butynyl)oxy]tetrahydro-2H-pyran,,3438
"2-[(E)-Buta-1,3-dienylmethyl]cyclohexylmethyl acrylate",78356,
2-[1-(1-Methylallyloxy)but-3-enyl]furan,,143796
"2-[1-(Methoxycarbonyl)azoethylidene]-5,6-dihydroimidazo[2,1-b]thiazol-3(2H)-one",1919,
2-[[4-Bromobut-2(E)-enyl]oxy]tetrahydropyran,17321,
2-acetamidoethanethiol,,174906
